urbanizacion,perdida_veg,ganancia_veg,nuevo_agua,zona,total_pixeles,urbanizacion_pct,perdida_veg_pct,ganancia_veg_pct,nuevo_agua_pct,urbanizacion_ha,perdida_veg_ha,ganancia_veg_ha,nuevo_agua_ha
0.0,0.0,1.0,0.0,5109041004018,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0
0.0,4.0,4.0,0.0,5109041004019,8.0,0.0,50.0,50.0,0.0,0.0,0.04,0.04,0.0
0.0,0.0,6.0,0.0,5109041003028,6.0,0.0,0.0,100.0,0.0,0.0,0.0,0.06,0.0
251.0,51.0,74.0,0.0,5109041008006,376.0,66.75531914893617,13.563829787234043,19.680851063829788,0.0,2.5100000000000002,0.51,0.74,0.0
11.0,49.0,133.0,162.0,5109171001001,355.0,3.0985915492957745,13.80281690140845,37.46478873239437,45.63380281690141,0.11,0.49,1.33,1.62
44.0,120.0,407.0,0.0,5109041008005,571.0,7.705779334500876,21.015761821366024,71.2784588441331,0.0,0.44,1.2,4.07,0.0
0.0,3.0,3.0,0.0,5109041004015,6.0,0.0,50.0,50.0,0.0,0.0,0.03,0.03,0.0
0.0,0.0,3.0,0.0,5109041002016,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.03,0.0
0.0,0.0,2.0,0.0,5109041002017,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.02,0.0
1.0,7.0,979.0,0.0,5109121002002,987.0,0.10131712259371833,0.7092198581560284,99.18946301925025,0.0,0.01,0.07,9.790000000000001,0.0
1.0,3.0,3.0,0.0,5109041004022,7.0,14.285714285714286,42.857142857142854,42.857142857142854,0.0,0.01,0.03,0.03,0.0
1.0,3.0,0.0,0.0,5109041004021,4.0,25.0,75.0,0.0,0.0,0.01,0.03,0.0,0.0
0.0,0.0,0.0,0.0,5109041003027,0.0,,,,,0.0,0.0,0.0,0.0
333.0,165.0,477.0,0.0,5109171001005,975.0,34.15384615384615,16.923076923076923,48.92307692307692,0.0,3.33,1.6500000000000001,4.7700000000000005,0.0
0.0,9.0,4.0,0.0,5109041003029,13.0,0.0,69.23076923076923,30.76923076923077,0.0,0.0,0.09,0.04,0.0
0.0,2.0,6.0,0.0,5109041002018,8.0,0.0,25.0,75.0,0.0,0.0,0.02,0.06,0.0
0.0,1.0,2.0,0.0,5109041004020,3.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.01,0.02,0.0
